division,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi::Hawaiʻi Mauka,12.427762,11.972663,11.103177,10.52845,9.183216,8.064527,7.9285297,8.772834,10.709164,12.014047,13.113449,12.297399,11.933879,11.51644,11.272924,9.0416975,9.281943,9.304766,10.077095,10.4020605,11.115787,11.010272,11.980885,11.848084,11.8452015,11.7894535,10.221627,10.113365,10.231743,8.564486,9.973305,9.494819,9.960614,11.037562,13.308405,12.27523,12.563485,12.818071,11.590906,10.810168,10.978601,9.151592,9.41663,10.696219,11.427137,12.65496,13.115815,13.451623,12.730994,11.851908,11.122271,11.249791,9.669136,10.368017,9.72147,9.993169,10.641234,12.604416,12.929309,13.283327
Hawaiʻi::Hilo,20.444431,20.306053,19.745243,18.708107,17.73066,17.027618,17.238369,17.321926,18.858826,19.447119,20.409634,20.066221,19.883171,19.563406,19.144703,17.854856,17.56572,17.567451,18.35674,18.595955,18.993704,19.166729,20.180696,20.251728,20.328299,20.404894,19.107882,18.339575,17.883486,17.463182,18.30407,18.147457,18.516935,19.109695,20.628265,20.406939,20.45034,19.950298,19.238281,18.012281,18.061531,16.476696,17.406843,18.347847,18.898607,19.631184,20.108557,20.587807,20.268993,19.939672,18.8919,18.65212,17.951542,17.722145,17.91112,18.522087,18.704594,19.599005,20.250933,20.552992
Hawaiʻi::Kaʻu,20.256039,20.125515,19.575647,18.5288,17.540993,16.844805,17.072956,17.125015,18.687613,19.25842,20.255234,19.893244,19.70556,19.380856,18.991858,17.705204,17.40853,17.366776,18.169249,18.428621,18.811182,18.966581,19.990786,20.062145,20.13731,20.229233,18.92446,18.159277,17.723421,17.29339,18.140682,17.977472,18.344439,18.914038,20.473167,20.219753,20.264034,19.75912,19.050592,17.827324,17.896482,16.253897,17.228008,18.189564,18.726376,19.444721,19.903942,20.400354,20.073442,19.74802,18.70533,18.460165,17.76515,17.517159,17.70253,18.324863,18.49735,19.387804,20.059647,20.361649
Hawaiʻi::Kona,19.223267,19.14567,18.57748,17.544043,16.52207,15.783645,16.027527,16.008942,17.69308,18.269045,19.377895,18.928396,18.681171,18.403769,18.090883,16.756794,16.438007,16.311714,17.133194,17.446379,17.836296,17.943623,19.019165,19.058365,19.103933,19.236284,17.87475,17.17264,16.82254,16.280615,17.164865,16.98063,17.301716,17.871737,19.606962,19.216103,19.25258,18.815187,18.06972,16.898365,17.014988,15.132151,16.235407,17.245579,17.787457,18.545614,18.955658,19.506363,19.081423,18.736717,17.745167,17.524664,16.733032,16.511885,16.611061,17.24025,17.414541,18.378456,19.099,19.416697
Hawaiʻi::Leeward Kohala,22.3575,22.178919,21.68151,20.576134,19.666079,19.064726,19.30054,19.387074,20.74719,21.250124,22.080593,21.879583,21.789957,21.406298,20.898252,19.756247,19.446278,19.51871,20.296665,20.475065,20.819643,21.064512,22.020575,22.154385,22.278078,22.324362,21.12161,20.213392,19.610449,19.440676,20.189701,20.081772,20.505306,21.03271,22.284557,22.289545,22.324675,21.662098,21.04805,19.715527,19.70927,18.421255,19.271759,20.138138,20.65186,21.27192,21.80012,22.233131,22.07709,21.824772,20.684076,20.373257,19.887596,19.523325,19.898924,20.540483,20.671114,21.369947,22.001566,22.276922
Hawaiʻi::Windward Kohala,20.06754,19.927422,19.369528,18.334833,17.337984,16.631447,16.849905,16.924032,18.494352,19.084564,20.082066,19.70959,19.518105,19.190222,18.803806,17.493002,17.210863,17.172436,17.973545,18.233889,18.624863,18.774574,19.796146,19.862917,19.936718,20.02376,18.71297,17.963886,17.54126,17.080566,17.942114,17.770756,18.141216,18.724428,20.298948,20.027458,20.078465,19.592417,18.870707,17.658508,17.729248,16.086405,17.0389,18.008095,18.550137,19.280964,19.741297,20.23265,19.896915,19.55747,18.52186,18.286182,17.569279,17.345984,17.51058,18.123762,18.308855,19.226446,19.88837,20.191317
Kauaʻi::Leeward Kauaʻi,23.359348,23.008312,22.058676,21.26917,20.642086,19.696024,19.847994,20.10044,21.60723,22.194696,23.043299,23.029829,22.831902,22.293133,21.632605,20.39664,19.999746,19.795042,20.42691,21.180813,21.545864,22.178642,23.27241,23.034878,23.34002,22.632242,21.757856,20.364794,19.405102,20.188877,20.25965,20.34871,20.933426,21.94923,23.152586,23.524897,23.394354,22.285618,21.66594,19.934027,19.348946,18.997297,19.538965,20.318148,20.976416,22.40241,22.882584,23.486023,23.228212,22.94448,21.697594,21.168182,19.95984,19.964773,20.807573,21.127142,21.753464,22.557686,23.112627,23.544308
Kauaʻi::Windward Kauaʻi,23.909578,23.46367,22.538656,21.731392,21.121145,20.15819,20.320263,20.582596,22.073017,22.677614,23.510908,23.498882,23.287386,22.716902,22.078236,20.827793,20.42897,20.227262,20.884327,21.659681,22.02158,22.654688,23.723288,23.51263,23.825668,23.076517,22.199839,20.790016,19.838106,20.606167,20.676996,20.759867,21.373455,22.397058,23.61971,24.007122,23.854527,22.710575,22.079098,20.351143,19.77128,19.43948,19.965788,20.746979,21.409857,22.835863,23.327219,23.929092,23.683645,23.408754,22.115007,21.533863,20.376032,20.369513,21.240995,21.552792,22.194195,23.014524,23.561325,24.008808
Maui::Leeward Maui Nui,23.837837,23.645039,22.856913,21.824602,21.028748,20.113876,20.11852,20.261765,21.911276,22.63603,23.499466,23.272064,23.120405,22.731932,22.133215,20.73939,20.354452,20.499336,21.38701,21.756124,22.207352,22.733742,23.446177,23.790152,23.776974,23.510406,22.32962,21.218718,20.27985,20.44156,20.875586,21.145836,21.507841,22.558203,23.489626,23.842184,23.732662,23.002817,22.32607,20.858345,20.607903,19.260048,20.183714,20.96797,21.837187,22.800503,23.3536,23.82385,23.638493,23.31181,22.029789,21.696896,20.72737,20.573574,21.115496,21.690104,22.141026,23.050112,23.552538,23.942072
Maui::Windward Maui Nui,22.096823,22.059351,21.22405,20.269136,19.443148,18.45023,18.455687,18.549435,20.267065,21.036095,21.959505,21.640139,21.352453,21.19743,20.606817,19.181978,18.763542,18.986023,19.782717,20.08314,20.64258,21.09235,21.983517,22.152554,22.094753,21.95309,20.653254,19.750917,18.994463,18.842384,19.40172,19.562458,19.791445,20.8424,22.072687,22.184055,22.062742,21.579704,20.803867,19.502417,19.308823,17.668833,18.685337,19.449713,20.334087,21.41953,21.959238,22.467554,22.044786,21.686213,20.561771,20.343752,19.209553,19.177149,19.457518,20.00353,20.406801,21.450502,22.016523,22.423689
Oʻahu::Koʻolau,25.144552,24.809536,23.508358,22.547636,21.72487,20.602541,20.605385,21.03151,22.640549,23.602257,23.92101,24.036318,23.89326,23.463068,23.272554,21.185583,21.467752,21.662495,22.247719,22.24998,22.88892,23.70416,23.859913,24.905685,24.95906,24.32226,23.102879,22.321754,21.657654,21.15152,22.08495,21.964758,22.281414,23.316862,24.103577,24.595245,24.516077,23.963665,22.94076,21.30049,21.136831,20.282782,20.888365,21.568954,22.295246,23.36225,23.839447,24.427998,24.536003,24.036802,22.595072,22.43278,21.345667,21.459005,21.990929,22.472246,22.875372,23.566256,24.190142,24.71649
Oʻahu::Waianae,25.883883,25.369255,24.375034,23.321611,22.635466,21.554361,21.594273,22.021461,23.538591,24.476192,24.949387,24.98446,24.827215,24.400885,23.949774,22.139265,22.028017,22.37539,22.953283,23.271421,23.81095,24.577934,24.860878,25.60961,25.653753,24.973682,23.911066,22.911823,22.176905,22.041157,22.772087,22.825155,23.219149,24.271536,25.044691,25.52195,25.41172,24.757532,23.846434,22.142107,21.939405,21.244518,21.86205,22.488838,23.151031,24.259531,24.757746,25.34477,25.449795,24.960094,23.517382,23.232565,22.200575,22.176083,22.840666,23.343164,23.823427,24.545334,25.082191,25.61061
